itemid,title,publisher
25233128,아이언맨 : S.H.I.E.L.D. 국장,sigongsa
25531870,엑스 마키나 디럭스 에디션 1,sigongsa
25867422,아이언 맨 : 헌티드,sigongsa
26061552,울버린,sigongsa
26062246,울버린 웨폰 X,sigongsa
26822337,루터,sigongsa
26822764,엑스 마키나 디럭스 에디션 2,sigongsa
27025075,슈퍼맨/배트맨 2 : 슈퍼걸,sigongsa
30602868,킥애스 2 전주곡 : 힛걸,sigongsa
30602930,킥애스 2,sigongsa
30614983,킥애스 1,sigongsa
31391742,엑스포스 / 케이블 : 메시아 워,sigongsa
31636739,그린 랜턴 군단 Green Lantern Corps : 스타 사파이어의 반역,sigongsa
31637119,페이블즈 디럭스 에디션 4,sigongsa
32269310,토르 : 옴니버스,sigongsa
32269797,죽음 디럭스 에디션,sigongsa
33149603,엑스맨 : 세컨드 커밍,sigongsa
35451332,데어데블 : 본 어게인,sigongsa
35643507,캡틴 아메리카 : 윈터 솔저 얼티밋 컬렉션,sigongsa
35867921,리처드 스타크의 파커 : 헌터,sigongsa
35868038,리처드 스타크의 파커 : 아웃핏,sigongsa
37470663,인빈시블 아이언 맨 1,sigongsa
37470889,인빈시블 아이언 맨 2,sigongsa
38182931,캡틴 아메리카 : 적색의 공포 1,sigongsa
38183115,캡틴 아메리카 : 적색의 공포 2,sigongsa
38967379,"퍼니셔 : 웰컴 백, 프랭크",sigongsa
39834082,어메이징 스파이더맨 1,sigongsa
39834120,어메이징 스파이더맨 2,sigongsa
40171053,페이블즈 디럭스 에디션 5,sigongsa
41044764,엑스맨 : 데이즈 오브 퓨처 패스트,sigongsa
41044901,엑스맨 : 뮤턴트 제네시스,sigongsa
42804884,미라클 맨 Book 1,sigongsa
42805292,인피닛 크라이시스,sigongsa
43888698,가디언즈 오브 더 갤럭시 Vol.1 : 코스믹 어벤저스,sigongsa
43896205,탑 텐 : 포티나이너즈,sigongsa
44011117,엑스 마키나 디럭스 에디션 3,sigongsa
44011247,엑스 마키나 디럭스 에디션 4,sigongsa
45551376,어소리티 1,sigongsa
45551843,데드풀 & 케이블 1,sigongsa
46202762,어소리티 2,sigongsa
46493845,엑스 마키나 디럭스 에디션 5,sigongsa
48362076,52 - 1,sigongsa
48972009,세븐 솔저스 오브 빅토리 Vol.1,sigongsa
49571075,52 - 2,sigongsa
51188607,52 - 3,sigongsa
51762051,세븐 솔저스 오브 빅토리 Vol.2,sigongsa
51763006,어메이징 스파이더맨 3,sigongsa
51763192,52 - 4,sigongsa
52274216,어메이징 스파이더맨 4,sigongsa
52732974,얼티미츠 2 Vol.1 : 신들과 괴물들,sigongsa
53753401,얼티미츠 2 Vol.2 : 미국 대탈취 작전,sigongsa
54105492,피어 잇셀프 Fear Itself,sigongsa
55240076,어벤저스 vs. 엑스맨,sigongsa
55240353,어메이징 스파이더 맨 : 스파이더 아일랜드,sigongsa
55335542,에이지 오브 울트론,sigongsa
55447691,DC 코믹스 앤솔로지,sigongsa
55661278,젠틀맨 리그 : 비범한 신사 연맹 1,sigongsa
56181116,다크 어벤저스 1,sigongsa
56467478,시즈,sigongsa
56467537,타노스 라이징,sigongsa
56518350,다크 어벤저스 2,sigongsa
56876715,시즈 : 다크 어벤저스,sigongsa
56876817,인피니티 건틀렛,sigongsa
56876904,판타스틱 포 Vol.1,sigongsa
60606408,판타스틱 포 Vol.2,sigongsa
61937911,이리디머블 앤트 맨 1,sigongsa
61938190,어나일레이션 Book 1,sigongsa
62268029,어나일레이션 Book 2,sigongsa
62489340,젠틀맨 리그 : 비범한 신사 연맹 2,sigongsa
62997823,판타스틱 포 Vol.3,sigongsa
63391789,판타스틱 포 Vol.4,sigongsa
63392084,미라클 맨 Book 2,sigongsa
63398307,그레이브야드 북 Vol.1,sigongsa
63398892,그레이브야드 북 Vol.2,sigongsa
64531896,어나일레이션 Book 3,sigongsa
65541045,왕좌의 게임 그래픽 노블 1,sigongsa
